ID,INITIAL,GOAL,BEBAN MUATAN (TON),REWARD,JENIS
392,Kabupaten Sidoarjo,Kabupaten Nganjuk,25,1170000,PADAT
393,Kabupaten Sidoarjo,Kabupaten Nganjuk,30,1345000,CAIR
394,Kabupaten Sidoarjo,Kota Madiun,15,942500,GAS
395,Kabupaten Sidoarjo,Kota Madiun,25,1292500,PADAT
396,Kabupaten Sidoarjo,Kota Madiun,30,1467500,CAIR
397,Kabupaten Sidoarjo,Kabupaten Magetan,15,1002500,GAS
398,Kabupaten Sidoarjo,Kabupaten Magetan,25,1352500,PADAT
399,Kabupaten Sidoarjo,Kabupaten Magetan,30,1527500,CAIR
400,Kabupaten Sidoarjo,Kabupaten Ngawi,15,992500,GAS
401,Kabupaten Sidoarjo,Kabupaten Ngawi,25,1342500,PADAT
402,Kabupaten Sidoarjo,Kabupaten Ngawi,30,1517500,CAIR
403,Kabupaten Sidoarjo,Kabupaten Bojonegoro,15,857500,GAS
404,Kabupaten Sidoarjo,Kabupaten Bojonegoro,25,1207500,PADAT
405,Kabupaten Sidoarjo,Kabupaten Bojonegoro,30,1382500,CAIR
406,Kabupaten Sidoarjo,Kabupaten Tuban,15,830000,GAS
407,Kabupaten Sidoarjo,Kabupaten Tuban,25,1180000,PADAT
408,Kabupaten Sidoarjo,Kabupaten Tuban,30,1355000,CAIR
409,Kabupaten Sidoarjo,Kabupaten Lamongan,15,697500,GAS
410,Kabupaten Sidoarjo,Kabupaten Lamongan,25,1047500,PADAT
411,Kabupaten Sidoarjo,Kabupaten Lamongan,30,1222500,CAIR
412,Kabupaten Sidoarjo,Kabupaten Gresik,15,630000,GAS
413,Kabupaten Sidoarjo,Kabupaten Gresik,25,980000,PADAT
414,Kabupaten Sidoarjo,Kabupaten Gresik,30,1155000,CAIR
415,Kabupaten Sidoarjo,Kabupaten Bangkalan,15,662500,GAS
416,Kabupaten Sidoarjo,Kabupaten Bangkalan,25,1012500,PADAT
417,Kabupaten Sidoarjo,Kabupaten Bangkalan,30,1187500,CAIR
418,Kabupaten Sidoarjo,Kabupaten Sampang,15,785000,GAS
419,Kabupaten Sidoarjo,Kabupaten Sampang,25,1135000,PADAT
420,Kabupaten Sidoarjo,Kabupaten Sampang,30,1310000,CAIR
421,Kabupaten Sidoarjo,Kabupaten Pamekasan,15,862500,GAS
422,Kabupaten Sidoarjo,Kabupaten Pamekasan,25,1212500,PADAT
423,Kabupaten Sidoarjo,Kabupaten Pamekasan,30,1387500,CAIR
424,Kabupaten Sidoarjo,Kabupaten Sumenep,15,995000,GAS
425,Kabupaten Sidoarjo,Kabupaten Sumenep,25,1345000,PADAT
426,Kabupaten Sidoarjo,Kabupaten Sumenep,30,1520000,CAIR
427,Kabupaten Sidoarjo,Kota Surabaya,15,580000,GAS
428,Kabupaten Sidoarjo,Kota Surabaya,25,930000,PADAT
429,Kabupaten Sidoarjo,Kota Surabaya,30,1105000,CAIR
430,Kabupaten Sidoarjo,Kota Blitar,15,932500,GAS
431,Kabupaten Sidoarjo,Kota Blitar,25,1282500,PADAT
432,Kabupaten Sidoarjo,Kota Blitar,30,1457500,CAIR
433,Kabupaten Sidoarjo,Kota Malang,15,715000,GAS
434,Kabupaten Sidoarjo,Kota Malang,25,1065000,PADAT
435,Kabupaten Sidoarjo,Kota Malang,30,1240000,CAIR
436,Kabupaten Kediri,Kabupaten Pacitan,30,1500000,GAS
437,Kabupaten Kediri,Kabupaten Pacitan,16,1010000,PADAT
438,Kabupaten Kediri,Kabupaten Pacitan,25,1325000,CAIR
439,Kabupaten Kediri,Kabupaten Ponorogo,15,812500,GAS
440,Kabupaten Kediri,Kabupaten Ponorogo,10,637500,PADAT
441,Kabupaten Kediri,Kabupaten Ponorogo,30,1337500,CAIR
442,Kabupaten Kediri,Kabupaten Trenggalek,16,717500,GAS
443,Kabupaten Kediri,Kabupaten Trenggalek,25,1032500,PADAT
444,Kabupaten Kediri,Kabupaten Trenggalek,15,682500,CAIR
445,Kabupaten Kediri,Kabupaten Tulungagung,10,427500,GAS
446,Kabupaten Kediri,Kabupaten Tulungagung,30,1127500,PADAT
447,Kabupaten Kediri,Kabupaten Tulungagung,16,637500,CAIR
448,Kabupaten Kediri,Kabupaten Lumajang,25,1417500,GAS
449,Kabupaten Kediri,Kabupaten Lumajang,15,1067500,PADAT
450,Kabupaten Kediri,Kabupaten Lumajang,10,892500,CAIR
451,Kabupaten Kediri,Kabupaten Jember,30,1797500,GAS
452,Kabupaten Kediri,Kabupaten Jember,16,1307500,PADAT
453,Kabupaten Kediri,Kabupaten Jember,25,1622500,CAIR
454,Kabupaten Kediri,Kabupaten Banyuwangi,15,1482500,GAS
455,Kabupaten Kediri,Kabupaten Banyuwangi,10,1307500,PADAT
456,Kabupaten Kediri,Kabupaten Banyuwangi,30,2007500,CAIR
457,Kabupaten Kediri,Kabupaten Situbondo,16,1282500,GAS
458,Kabupaten Kediri,Kabupaten Situbondo,25,1597500,PADAT
459,Kabupaten Kediri,Kabupaten Situbondo,15,1247500,CAIR
460,Kabupaten Kediri,Kota Probolinggo,10,835000,GAS
461,Kabupaten Kediri,Kota Probolinggo,30,1535000,PADAT
462,Kabupaten Kediri,Kota Probolinggo,16,1045000,CAIR
463,Kabupaten Kediri,Kota Pasuruan,25,1265000,GAS
464,Kabupaten Kediri,Kota Pasuruan,15,915000,PADAT
465,Kabupaten Kediri,Kota Pasuruan,10,740000,CAIR
466,Kabupaten Kediri,Kabupaten Sidoarjo,30,1415000,GAS
467,Kabupaten Kediri,Kabupaten Sidoarjo,16,925000,PADAT
468,Kabupaten Kediri,Kabupaten Sidoarjo,25,1240000,CAIR
469,Kabupaten Kediri,Kota Mojokerto,15,642500,GAS
470,Kabupaten Kediri,Kota Mojokerto,10,467500,PADAT
471,Kabupaten Kediri,Kota Mojokerto,30,1167500,CAIR
472,Kabupaten Kediri,Kabupaten Jombang,16,670000,GAS
473,Kabupaten Kediri,Kabupaten Jombang,25,985000,PADAT
474,Kabupaten Kediri,Kabupaten Jombang,15,635000,CAIR
475,Kabupaten Kediri,Kabupaten Nganjuk,10,420000,GAS
476,Kabupaten Kediri,Kabupaten Nganjuk,30,1120000,PADAT
477,Kabupaten Kediri,Kabupaten Nganjuk,16,630000,CAIR
478,Kabupaten Kediri,Kota Madiun,25,1070000,GAS
479,Kabupaten Kediri,Kota Madiun,15,720000,PADAT
480,Kabupaten Kediri,Kota Madiun,10,545000,CAIR
481,Kabupaten Kediri,Kabupaten Magetan,30,1305000,GAS
482,Kabupaten Kediri,Kabupaten Magetan,16,815000,PADAT
483,Kabupaten Kediri,Kabupaten Magetan,25,1130000,CAIR
484,Kabupaten Kediri,Kabupaten Ngawi,15,750000,GAS
485,Kabupaten Kediri,Kabupaten Ngawi,10,575000,PADAT
486,Kabupaten Kediri,Kabupaten Ngawi,30,1275000,CAIR
487,Kabupaten Kediri,Kabupaten Bojonegoro,16,882500,GAS
488,Kabupaten Kediri,Kabupaten Bojonegoro,25,1197500,PADAT
489,Kabupaten Kediri,Kabupaten Bojonegoro,15,847500,CAIR
490,Kabupaten Kediri,Kabupaten Tuban,10,665000,GAS
491,Kabupaten Kediri,Kabupaten Tuban,30,1365000,PADAT
492,Kabupaten Kediri,Kabupaten Tuban,16,875000,CAIR
493,Kabupaten Kediri,Kabupaten Lamongan,25,1202500,GAS
494,Kabupaten Kediri,Kabupaten Lamongan,15,852500,PADAT
495,Kabupaten Kediri,Kabupaten Lamongan,10,677500,CAIR
496,Kabupaten Kediri,Kabupaten Gresik,30,1402500,GAS
497,Kabupaten Kediri,Kabupaten Gresik,16,912500,PADAT
498,Kabupaten Kediri,Kabupaten Gresik,25,1227500,CAIR
499,Kabupaten Kediri,Kabupaten Bangkalan,15,1482500,GAS
500,Kabupaten Kediri,Kabupaten Bangkalan,10,1307500,PADAT
501,Kabupaten Kediri,Kabupaten Bangkalan,30,2007500,CAIR
502,Kabupaten Kediri,Kabupaten Sampang,16,1092500,GAS
503,Kabupaten Kediri,Kabupaten Sampang,25,1407500,PADAT
504,Kabupaten Kediri,Kabupaten Sampang,15,1057500,CAIR
505,Kabupaten Kediri,Kabupaten Pamekasan,10,965000,GAS
506,Kabupaten Kediri,Kabupaten Pamekasan,30,1665000,PADAT
507,Kabupaten Kediri,Kabupaten Pamekasan,16,1175000,CAIR
508,Kabupaten Kediri,Kabupaten Sumenep,25,1615000,GAS
509,Kabupaten Kediri,Kabupaten Sumenep,15,1265000,PADAT
510,Kabupaten Kediri,Kabupaten Sumenep,10,1090000,CAIR
511,Kabupaten Kediri,Kota Surabaya,30,1357500,GAS
512,Kabupaten Kediri,Kota Surabaya,16,867500,PADAT
513,Kabupaten Kediri,Kota Surabaya,25,1182500,CAIR
514,Kabupaten Kediri,Kota Blitar,15,635000,GAS
515,Kabupaten Kediri,Kota Blitar,10,460000,PADAT
516,Kabupaten Kediri,Kota Blitar,30,1160000,CAIR
517,Kabupaten Kediri,Kota Malang,16,810000,GAS
518,Kabupaten Kediri,Kota Malang,25,1125000,PADAT
519,Kabupaten Kediri,Kota Malang,15,775000,CAIR
520,Kabupaten Kediri,Kabupaten Bondowoso,10,1315000,GAS
521,Kabupaten Kediri,Kabupaten Bondowoso,30,2015000,PADAT
522,Kabupaten Kediri,Kabupaten Bondowoso,16,1525000,CAIR
523,Kabupaten Lumajang,Kota Surabaya,30,1412500,GAS
524,Kabupaten Lumajang,Kota Surabaya,16,922500,PADAT
525,Kabupaten Lumajang,Kota Surabaya,25,1237500,CAIR
526,Kabupaten Lumajang,Kabupaten Gresik,15,932500,GAS
527,Kabupaten Lumajang,Kabupaten Gresik,10,757500,PADAT
528,Kabupaten Lumajang,Kabupaten Gresik,30,1457500,CAIR
529,Kabupaten Lumajang,Kabupaten Sidoarjo,16,865000,GAS
530,Kabupaten Lumajang,Kabupaten Sidoarjo,25,1180000,PADAT
531,Kabupaten Lumajang,Kabupaten Sidoarjo,15,830000,CAIR
532,Kabupaten Lumajang,Kota Mojokerto,30,1422500,GAS
533,Kabupaten Lumajang,Kota Mojokerto,16,932500,PADAT
534,Kabupaten Lumajang,Kota Mojokerto,25,1247500,CAIR
535,Kabupaten Lumajang,Kabupaten Jombang,15,965000,GAS
536,Kabupaten Lumajang,Kabupaten Jombang,10,790000,PADAT
537,Kabupaten Lumajang,Kabupaten Jombang,30,1490000,CAIR
538,Kabupaten Lumajang,Kabupaten Bojonegoro,16,1192500,GAS
539,Kabupaten Lumajang,Kabupaten Bojonegoro,25,1507500,PADAT
540,Kabupaten Lumajang,Kabupaten Bojonegoro,15,1157500,CAIR
541,Kabupaten Lumajang,Kabupaten Lamongan,30,1525000,GAS
542,Kabupaten Lumajang,Kabupaten Lamongan,16,1035000,PADAT
543,Kabupaten Lumajang,Kabupaten Lamongan,25,1350000,CAIR
544,Kabupaten Lumajang,Kabupaten Tuban,15,1145000,GAS
545,Kabupaten Lumajang,Kabupaten Tuban,10,970000,PADAT
546,Kabupaten Lumajang,Kabupaten Tuban,30,1670000,CAIR
547,Kabupaten Lumajang,Kota Madiun,16,1225000,GAS
548,Kabupaten Lumajang,Kota Madiun,25,1540000,PADAT
549,Kabupaten Lumajang,Kota Madiun,15,1190000,CAIR
550,Kabupaten Lumajang,Kabupaten Ngawi,30,1740000,GAS
551,Kabupaten Lumajang,Kabupaten Ngawi,16,1250000,PADAT
552,Kabupaten Lumajang,Kabupaten Ngawi,25,1565000,CAIR
553,Kabupaten Lumajang,Kabupaten Magetan,15,1250000,GAS
554,Kabupaten Lumajang,Kabupaten Magetan,10,1075000,PADAT
555,Kabupaten Lumajang,Kabupaten Magetan,30,1775000,CAIR
556,Kabupaten Lumajang,Kabupaten Ponorogo,16,1112500,GAS
557,Kabupaten Lumajang,Kabupaten Ponorogo,25,1427500,PADAT
558,Kabupaten Lumajang,Kabupaten Ponorogo,15,1077500,CAIR
559,Kabupaten Lumajang,Kabupaten Pacitan,30,1740000,GAS
560,Kabupaten Lumajang,Kabupaten Pacitan,16,1250000,PADAT
561,Kabupaten Lumajang,Kabupaten Pacitan,25,1565000,CAIR
562,Kabupaten Lumajang,Kabupaten Kediri,15,1067500,GAS
563,Kabupaten Lumajang,Kabupaten Kediri,10,892500,PADAT
564,Kabupaten Lumajang,Kabupaten Kediri,30,1592500,CAIR
565,Kabupaten Lumajang,Kabupaten Nganjuk,16,1100000,GAS
566,Kabupaten Lumajang,Kabupaten Nganjuk,25,1415000,PADAT
567,Kabupaten Lumajang,Kabupaten Nganjuk,15,1065000,CAIR
568,Kabupaten Lumajang,Kabupaten Tulungagung,30,1562500,GAS
569,Kabupaten Lumajang,Kabupaten Tulungagung,16,1072500,PADAT
570,Kabupaten Lumajang,Kabupaten Tulungagung,25,1387500,CAIR
571,Kabupaten Lumajang,Kota Blitar,15,955000,GAS
572,Kabupaten Lumajang,Kota Blitar,10,780000,PADAT
573,Kabupaten Lumajang,Kota Blitar,30,1480000,CAIR
574,Kabupaten Lumajang,Kabupaten Trenggalek,16,1150000,GAS
575,Kabupaten Lumajang,Kabupaten Trenggalek,25,1465000,PADAT
576,Kabupaten Lumajang,Kabupaten Trenggalek,15,1115000,CAIR
577,Kabupaten Lumajang,Kota Malang,30,1342500,GAS
578,Kabupaten Lumajang,Kota Malang,16,852500,PADAT
579,Kabupaten Lumajang,Kota Malang,25,1167500,CAIR
580,Kabupaten Lumajang,Kota Pasuruan,15,737500,GAS
581,Kabupaten Lumajang,Kota Pasuruan,10,562500,PADAT
582,Kabupaten Lumajang,Kota Pasuruan,30,1262500,CAIR
583,Kabupaten Lumajang,Kota Probolinggo,16,675000,GAS
584,Kabupaten Lumajang,Kota Probolinggo,25,990000,PADAT
585,Kabupaten Lumajang,Kota Probolinggo,15,640000,CAIR
586,Kabupaten Lumajang,Kabupaten Bondowoso,30,1312500,GAS
587,Kabupaten Lumajang,Kabupaten Bondowoso,16,822500,PADAT
588,Kabupaten Lumajang,Kabupaten Bondowoso,25,1137500,CAIR
589,Kabupaten Lumajang,Kabupaten Situbondo,15,875000,GAS
590,Kabupaten Lumajang,Kabupaten Situbondo,10,700000,PADAT
591,Kabupaten Lumajang,Kabupaten Situbondo,30,1400000,CAIR
592,Kabupaten Lumajang,Kabupaten Jember,16,990000,GAS
593,Kabupaten Lumajang,Kabupaten Jember,25,1305000,PADAT
594,Kabupaten Lumajang,Kabupaten Jember,15,955000,CAIR
595,Kabupaten Lumajang,Kabupaten Banyuwangi,30,1492500,GAS
596,Kabupaten Lumajang,Kabupaten Banyuwangi,16,1002500,PADAT
597,Kabupaten Lumajang,Kabupaten Banyuwangi,25,1317500,CAIR
598,Kabupaten Lumajang,Kabupaten Bangkalan,15,957500,GAS
599,Kabupaten Lumajang,Kabupaten Bangkalan,10,782500,PADAT
600,Kabupaten Lumajang,Kabupaten Bangkalan,30,1482500,CAIR
601,Kabupaten Lumajang,Kabupaten Sampang,16,1147500,GAS
602,Kabupaten Lumajang,Kabupaten Sampang,25,1462500,PADAT
603,Kabupaten Lumajang,Kabupaten Sampang,15,1112500,CAIR
604,Kabupaten Lumajang,Kabupaten Pamekasan,30,1720000,GAS
605,Kabupaten Lumajang,Kabupaten Pamekasan,16,1230000,PADAT
606,Kabupaten Lumajang,Kabupaten Pamekasan,25,1545000,CAIR
607,Kabupaten Lumajang,Kabupaten Sumenep,15,1280000,GAS
608,Kabupaten Lumajang,Kabupaten Sumenep,10,1105000,PADAT
609,Kabupaten Lumajang,Kabupaten Sumenep,30,1805000,CAIR
610,Kabupaten Jember,Kota Surabaya,16,1052500,GAS
611,Kabupaten Jember,Kota Surabaya,25,1367500,PADAT
612,Kabupaten Jember,Kota Surabaya,15,1017500,CAIR
613,Kabupaten Jember,Kabupaten Gresik,30,1587500,GAS
614,Kabupaten Jember,Kabupaten Gresik,16,1097500,PADAT
615,Kabupaten Jember,Kabupaten Gresik,25,1412500,CAIR
616,Kabupaten Jember,Kabupaten Sidoarjo,15,960000,GAS
617,Kabupaten Jember,Kabupaten Sidoarjo,10,785000,PADAT
618,Kabupaten Jember,Kabupaten Sidoarjo,30,1485000,CAIR
619,Kabupaten Jember,Kota Mojokerto,16,1050000,GAS
620,Kabupaten Jember,Kota Mojokerto,25,1365000,PADAT
621,Kabupaten Jember,Kota Mojokerto,15,1015000,CAIR
622,Kabupaten Jember,Kabupaten Jombang,30,1620000,GAS
623,Kabupaten Jember,Kabupaten Jombang,16,1130000,PADAT
624,Kabupaten Jember,Kabupaten Jombang,25,1445000,CAIR
625,Kabupaten Jember,Kabupaten Bojonegoro,15,1287500,GAS
626,Kabupaten Jember,Kabupaten Bojonegoro,10,1112500,PADAT
627,Kabupaten Jember,Kabupaten Bojonegoro,30,1812500,CAIR
628,Kabupaten Jember,Kabupaten Lamongan,16,1165000,GAS
629,Kabupaten Jember,Kabupaten Lamongan,25,1480000,PADAT
630,Kabupaten Jember,Kabupaten Lamongan,15,1130000,CAIR
631,Kabupaten Jember,Kabupaten Tuban,30,1800000,GAS
632,Kabupaten Jember,Kabupaten Tuban,16,1310000,PADAT
633,Kabupaten Jember,Kabupaten Tuban,25,1625000,CAIR
634,Kabupaten Jember,Kota Madiun,15,1320000,GAS
635,Kabupaten Jember,Kota Madiun,10,1145000,PADAT
636,Kabupaten Jember,Kota Madiun,30,1845000,CAIR
637,Kabupaten Jember,Kabupaten Ngawi,16,1385000,GAS
638,Kabupaten Jember,Kabupaten Ngawi,25,1700000,PADAT
639,Kabupaten Jember,Kabupaten Ngawi,15,1350000,CAIR
640,Kabupaten Jember,Kabupaten Magetan,30,1905000,GAS
641,Kabupaten Jember,Kabupaten Magetan,16,1415000,PADAT
642,Kabupaten Jember,Kabupaten Magetan,25,1730000,CAIR
643,Kabupaten Jember,Kabupaten Ponorogo,15,1392500,GAS
644,Kabupaten Jember,Kabupaten Ponorogo,10,1217500,PADAT
645,Kabupaten Jember,Kabupaten Ponorogo,30,1917500,CAIR
646,Kabupaten Jember,Kabupaten Pacitan,16,1455000,GAS
647,Kabupaten Jember,Kabupaten Pacitan,25,1770000,PADAT
648,Kabupaten Jember,Kabupaten Pacitan,15,1420000,CAIR
649,Kabupaten Jember,Kabupaten Kediri,30,1780000,GAS
650,Kabupaten Jember,Kabupaten Kediri,16,1290000,PADAT
651,Kabupaten Jember,Kabupaten Kediri,25,1605000,CAIR
652,Kabupaten Jember,Kabupaten Nganjuk,15,1195000,GAS
653,Kabupaten Jember,Kabupaten Nganjuk,10,1020000,PADAT
654,Kabupaten Jember,Kabupaten Nganjuk,30,1720000,CAIR
655,Kabupaten Jember,Kabupaten Tulungagung,16,1317500,GAS
656,Kabupaten Jember,Kabupaten Tulungagung,25,1632500,PADAT
657,Kabupaten Jember,Kabupaten Tulungagung,15,1282500,CAIR
658,Kabupaten Jember,Kota Blitar,30,1725000,GAS
659,Kabupaten Jember,Kota Blitar,16,1235000,PADAT
660,Kabupaten Jember,Kota Blitar,25,1550000,CAIR
661,Kabupaten Jember,Kabupaten Trenggalek,15,1360000,GAS
662,Kabupaten Jember,Kabupaten Trenggalek,10,1185000,PADAT
663,Kabupaten Jember,Kabupaten Trenggalek,30,1885000,CAIR
664,Kabupaten Jember,Kota Malang,16,1040000,GAS
665,Kabupaten Jember,Kota Malang,25,1355000,PADAT
666,Kabupaten Jember,Kota Malang,15,1005000,CAIR
667,Kabupaten Jember,Kota Pasuruan,30,1392500,GAS
668,Kabupaten Jember,Kota Pasuruan,16,902500,PADAT
669,Kabupaten Jember,Kota Pasuruan,25,1217500,CAIR
670,Kabupaten Jember,Kota Probolinggo,15,765000,GAS
671,Kabupaten Jember,Kota Probolinggo,10,590000,PADAT
672,Kabupaten Jember,Kota Probolinggo,30,1290000,CAIR
673,Kabupaten Jember,Kabupaten Lumajang,16,740000,GAS
674,Kabupaten Jember,Kabupaten Lumajang,25,1055000,PADAT
675,Kabupaten Jember,Kabupaten Lumajang,15,705000,CAIR
676,Kabupaten Jember,Kabupaten Bondowoso,30,1130000,GAS
677,Kabupaten Jember,Kabupaten Bondowoso,16,640000,PADAT
678,Kabupaten Jember,Kabupaten Bondowoso,25,955000,CAIR
679,Kabupaten Jember,Kabupaten Situbondo,15,767500,GAS
680,Kabupaten Jember,Kabupaten Situbondo,10,592500,PADAT
681,Kabupaten Jember,Kabupaten Situbondo,30,1292500,CAIR
682,Kabupaten Jember,Kabupaten Banyuwangi,16,822500,GAS
683,Kabupaten Jember,Kabupaten Banyuwangi,25,1137500,PADAT
684,Kabupaten Jember,Kabupaten Banyuwangi,15,787500,CAIR
685,Kabupaten Jember,Kabupaten Bangkalan,30,1612500,GAS
686,Kabupaten Jember,Kabupaten Bangkalan,16,1122500,PADAT
687,Kabupaten Jember,Kabupaten Bangkalan,25,1437500,CAIR
688,Kabupaten Jember,Kabupaten Sampang,15,1242500,GAS
689,Kabupaten Jember,Kabupaten Sampang,10,1067500,PADAT
690,Kabupaten Jember,Kabupaten Sampang,30,1767500,CAIR
691,Kabupaten Jember,Kabupaten Pamekasan,16,1360000,GAS
692,Kabupaten Jember,Kabupaten Pamekasan,25,1675000,PADAT
693,Kabupaten Jember,Kabupaten Pamekasan,15,1325000,CAIR
694,Kabupaten Jember,Kabupaten Sumenep,30,1980000,GAS
695,Kabupaten Jember,Kabupaten Sumenep,16,1490000,PADAT
696,Kabupaten Jember,Kabupaten Sumenep,25,1805000,CAIR
697,Kabupaten Banyuwangi,Kota Surabaya,30,1770000,GAS
698,Kabupaten Banyuwangi,Kota Surabaya,20,1420000,PADAT
699,Kabupaten Banyuwangi,Kota Surabaya,22,1490000,CAIR
700,Kabupaten Banyuwangi,Kabupaten Gresik,25,1640000,GAS
701,Kabupaten Banyuwangi,Kabupaten Gresik,26,1675000,PADAT
702,Kabupaten Banyuwangi,Kabupaten Gresik,35,1990000,CAIR
703,Kabupaten Banyuwangi,Kabupaten Sidoarjo,15,1187500,GAS
704,Kabupaten Banyuwangi,Kabupaten Sidoarjo,10,1012500,PADAT
705,Kabupaten Banyuwangi,Kabupaten Sidoarjo,30,1712500,CAIR
706,Kabupaten Banyuwangi,Kota Mojokerto,16,1282500,GAS
707,Kabupaten Banyuwangi,Kota Mojokerto,25,1597500,PADAT
708,Kabupaten Banyuwangi,Kota Mojokerto,15,1247500,CAIR
709,Kabupaten Banyuwangi,Kabupaten Jombang,30,1847500,GAS
710,Kabupaten Banyuwangi,Kabupaten Jombang,16,1357500,PADAT
711,Kabupaten Banyuwangi,Kabupaten Jombang,25,1672500,CAIR
712,Kabupaten Banyuwangi,Kabupaten Bojonegoro,30,2040000,GAS
713,Kabupaten Banyuwangi,Kabupaten Bojonegoro,20,1690000,PADAT
714,Kabupaten Banyuwangi,Kabupaten Bojonegoro,22,1760000,CAIR
715,Kabupaten Banyuwangi,Kabupaten Lamongan,25,1707500,GAS
716,Kabupaten Banyuwangi,Kabupaten Lamongan,26,1742500,PADAT
717,Kabupaten Banyuwangi,Kabupaten Lamongan,35,2057500,CAIR
718,Kabupaten Banyuwangi,Kabupaten Tuban,15,1502500,GAS
719,Kabupaten Banyuwangi,Kabupaten Tuban,10,1327500,PADAT
720,Kabupaten Banyuwangi,Kabupaten Tuban,30,2027500,CAIR
721,Kabupaten Banyuwangi,Kota Madiun,16,1577500,GAS
722,Kabupaten Banyuwangi,Kota Madiun,25,1892500,PADAT
723,Kabupaten Banyuwangi,Kota Madiun,15,1542500,CAIR
724,Kabupaten Banyuwangi,Kabupaten Ngawi,30,2102500,GAS
725,Kabupaten Banyuwangi,Kabupaten Ngawi,16,1612500,PADAT
726,Kabupaten Banyuwangi,Kabupaten Ngawi,25,1927500,CAIR
727,Kabupaten Banyuwangi,Kabupaten Magetan,30,2132500,GAS
728,Kabupaten Banyuwangi,Kabupaten Magetan,20,1782500,PADAT
729,Kabupaten Banyuwangi,Kabupaten Magetan,22,1852500,CAIR
730,Kabupaten Banyuwangi,Kabupaten Ponorogo,25,1965000,GAS
731,Kabupaten Banyuwangi,Kabupaten Ponorogo,26,2000000,PADAT
732,Kabupaten Banyuwangi,Kabupaten Ponorogo,35,2315000,CAIR
733,Kabupaten Banyuwangi,Kabupaten Pacitan,15,1680000,GAS
734,Kabupaten Banyuwangi,Kabupaten Pacitan,10,1505000,PADAT
735,Kabupaten Banyuwangi,Kabupaten Pacitan,30,2205000,CAIR
736,Kabupaten Banyuwangi,Kabupaten Kediri,16,1517500,GAS
737,Kabupaten Banyuwangi,Kabupaten Kediri,25,1832500,PADAT
738,Kabupaten Banyuwangi,Kabupaten Kediri,15,1482500,CAIR
739,Kabupaten Banyuwangi,Kabupaten Nganjuk,30,2022500,GAS
740,Kabupaten Banyuwangi,Kabupaten Nganjuk,16,1532500,PADAT
741,Kabupaten Banyuwangi,Kabupaten Nganjuk,25,1847500,CAIR
742,Kabupaten Banyuwangi,Kabupaten Tulungagung,30,2035000,GAS
743,Kabupaten Banyuwangi,Kabupaten Tulungagung,20,1685000,PADAT
744,Kabupaten Banyuwangi,Kabupaten Tulungagung,22,1755000,CAIR
745,Kabupaten Banyuwangi,Kota Blitar,25,1777500,GAS
746,Kabupaten Banyuwangi,Kota Blitar,26,1812500,PADAT
747,Kabupaten Banyuwangi,Kota Blitar,35,2127500,CAIR
748,Kabupaten Banyuwangi,Kabupaten Trenggalek,15,1587500,GAS
749,Kabupaten Banyuwangi,Kabupaten Trenggalek,10,1412500,PADAT
750,Kabupaten Banyuwangi,Kabupaten Trenggalek,30,2112500,CAIR
751,Kabupaten Banyuwangi,Kota Malang,16,1157500,GAS
752,Kabupaten Banyuwangi,Kota Malang,25,1472500,PADAT
753,Kabupaten Banyuwangi,Kota Malang,15,1122500,CAIR
754,Kabupaten Banyuwangi,Kota Pasuruan,30,1620000,GAS
755,Kabupaten Banyuwangi,Kota Pasuruan,16,1130000,PADAT
756,Kabupaten Banyuwangi,Kota Pasuruan,25,1445000,CAIR
757,Kabupaten Banyuwangi,Kota Probolinggo,30,1522500,GAS
758,Kabupaten Banyuwangi,Kota Probolinggo,20,1172500,PADAT
759,Kabupaten Banyuwangi,Kota Probolinggo,22,1242500,CAIR
760,Kabupaten Banyuwangi,Kabupaten Lumajang,25,1317500,GAS
761,Kabupaten Banyuwangi,Kabupaten Lumajang,26,1352500,PADAT
762,Kabupaten Banyuwangi,Kabupaten Lumajang,35,1667500,CAIR
763,Kabupaten Banyuwangi,Kabupaten Bondowoso,15,865000,GAS
764,Kabupaten Banyuwangi,Kabupaten Bondowoso,10,690000,PADAT
765,Kabupaten Banyuwangi,Kabupaten Bondowoso,30,1390000,CAIR
766,Kabupaten Banyuwangi,Kabupaten Situbondo,16,795000,GAS
767,Kabupaten Banyuwangi,Kabupaten Situbondo,25,1110000,PADAT
768,Kabupaten Banyuwangi,Kabupaten Situbondo,15,760000,CAIR
769,Kabupaten Banyuwangi,Kabupaten Jember,30,1312500,GAS
770,Kabupaten Banyuwangi,Kabupaten Jember,16,822500,PADAT
771,Kabupaten Banyuwangi,Kabupaten Jember,25,1137500,CAIR
772,Kabupaten Banyuwangi,Kabupaten Bangkalan,30,1840000,GAS
773,Kabupaten Banyuwangi,Kabupaten Bangkalan,20,1490000,PADAT
774,Kabupaten Banyuwangi,Kabupaten Bangkalan,22,1560000,CAIR
775,Kabupaten Banyuwangi,Kabupaten Sampang,25,1820000,GAS
776,Kabupaten Banyuwangi,Kabupaten Sampang,26,1855000,PADAT
777,Kabupaten Banyuwangi,Kabupaten Sampang,35,2170000,CAIR
778,Kabupaten Banyuwangi,Kabupaten Pamekasan,15,1552500,GAS
779,Kabupaten Banyuwangi,Kabupaten Pamekasan,10,1377500,PADAT
780,Kabupaten Banyuwangi,Kabupaten Pamekasan,30,2077500,CAIR
781,Kabupaten Banyuwangi,Kabupaten Sumenep,16,1717500,GAS
